1400,4,5,6,23,16,15
1401,34,22,19,28,9,4
1402,18,4,12,25,14,34
1403,24,22,33,34,30,36
1404,14,34,26,2,12,21
1405,23,22,11,19,25,33
1406,29,23,8,6,5,13
1407,34,29,17,11,24,21
1408,11,24,35,14,6,19
1409,28,34,33,35,26,24
1410,4,7,18,22,1,5
1411,36,13,14,24,17,6
1412,36,35,32,25,19,4
1413,5,13,10,1,34,4
1414,30,24,34,20,15,27
1415,22,31,4,35,11,21
1416,31,11,23,17,16,27
1417,30,3,5,34,11,28
1418,20,16,8,33,5,24
1419,33,6,19,26,1,13
1420,9,19,27,25,2,17
1421,13,12,7,11,4,35
1422,19,6,4,22,33,25
1423,31,10,1,34,32,28
